Infrastructure ID,Chunk,Start Time,End Time,Start Street Reference,Artificial Light,Artificial Light Source,Presence/Absence,FirefliesObserved (#),Notes
SS-VSMPE-2,1,20:52,,NA,Visible Bright Light,"Streetlights, cars (every 30seconds)",Absence,0,
SS-VSMPE-2,2,,,NA,,,Absence,0,
SS-VSMPE-2,3,,21:12,NA,,,Absence,0,
RV-VSMPE-2,1,21:14,,Avenue Ball,Visible Bright Light,,Presence,1,
RV-VSMPE-2,2,,,Avenue Ball,,,Presence,2,
RV-VSMPE-2,3,,21:43,Avenue Ball,,,Absence,0,
SS-VSMPE-10,1,21:45,,,Visible Bright Light,"Streetlight, cars",Absence,0,
SS-VSMPE-10,2,,,,,,Absence,0,
SS-VSMPE-10,3,,22:06,,,,Absence,0,
RV-VSMPE-10,1,22:09,,,Visible Bright Light,Streetlights,Absence,0,
RV-VSMPE-10,2,,,,,,Absence,0,
RV-VSMPE-10,3,,22:29,,,,Absence,0,
SS-VSMPE-8,1,22:36,,,Visible Bright Light,"Streetlights, cars",Absence,0,
SS-VSMPE-8,2,,,,,,Absence,0,
SS-VSMPE-8,3,,23:01,,,,Absence,0,
RV-VSMPE-8,1,23:02,,,Visible Bright Light,Streetlights,Absence,0,
RV-VSMPE-8,2,,,,,,Absence,0,
RV-VSMPE-8,3,,23:23,,,,Absence,0,
CON-SS-VSMPE-1,1,20:47,,Jean Talon,No Artifical Light,,Absence,0,
CON-SS-VSMPE-1,2,,,,Visible Bright Light,Streetlights,Absence,0,
CON-SS-VSMPE-1,3,,21:05,,Visible Bright Light,Streetlights,Absence,0,
CON-VSMPE-1,1,21:07,,Ogilvy,Visible Bright Light,"Streetlights, garage lights",Absence,0,
CON-VSMPE-1,2,,,,Visible Bright Light,Streetlights,Absence,0,
CON-VSMPE-1,3,,21:25,,Visible Bright Light,Streetlights,Absence,0,
SS-VSMPE-6,1,21:33,\,Ogilvy,Visible Bright Light,Streetlights ,Absence,0,
SS-VSMPE-6,2,,,,Ground Illuminated,Streetlights opposite side,Absence,0,
SS-VSMPE-6,3,,21:55,,Visible Bright Light,"Cop Car Lights, Streetlights",Absence,0,
RV-VSMPE-6,1,21:57,,St-Roch,Ground Illuminated,Post Lamp,Presence,1,
RV-VSMPE-6,2,,,,Visible Bright Light,Streetlights,Presence,3,
RV-VSMPE-6,3,,22:15,,Visible Bright Light,Streetlights,Presence,1,
SS-VSMPE-3,1,22:23,,Ogilvy,Visible Bright Light,Streetlights,Absence,0,
SS-VSMPE-3,2,,,,Visible Bright Light,Streetlights,Absence,0,
SS-VSMPE-3,3,,22:40,,Visible Bright Light,Streetlights,Absence,0,
RV-VSMPE-3,1,22:46,,Jean-Talon,,NA,Absence,0,
RV-VSMPE-3,2,,,,,NA,Absence,0,
RV-VSMPE-3,3,,23:04,,,NA,Presence,1,
SS-VSMPE-39,1,22:16,22:22,Castelneau,Ground Illuminated,Lamp Post,Absence,0,
SS-VSMPE-39,2,22:24,22:29,,Ground Illuminated,Lamp Post,Absence,0,
SS-VSMPE-39,3,22:31,22:36,,Ground Illuminated,Lamp Post,Absence,0,
RV-VSMPE-39,1,22:38,22:43,Jean-Talon,Visible Bright Light,Streetlight,Absence,0,
RV-VSMPE-39,2,22:46,22:51,,Visible Bright Light,Streetlight (motion activated),Absence,0,
RV-VSMPE-39,3,22:53,22:58,,Ground Illuminated,Lamp Post,Absence,0,
CON-SS-VSMPE-7,1,21:32,21:37,Castelneau,Ground Illuminated,Lamp Post,Absence,0,
CON-SS-VSMPE-7,2,21:39,21:44,,No Artifical Light,NA,Absence,0,
CON-SS-VSMPE-7,3,21:46,21:51,,Ground Illuminated,Lamp Post,Absence,0,
