InfrastructureID,Segment,Distance,Grass,Herbaceous,Wall,Shrub,Canopy,Layers,Avarage of layers,
RV-VSMPE-1,1,0,0,1,0,0,1,2,1.3125,
RV-VSMPE-1,1,10,1,0,0,0,0,1,,
RV-VSMPE-1,1,20,0,0,0,0,0,0,,
RV-VSMPE-1,1,30,0,0,0,0,0,0,,
RV-VSMPE-1,1,40,0,0,0,0,0,0,,
RV-VSMPE-1,1,50,0,0,0,0,0,0,,
RV-VSMPE-1,2,0,0,1,0,0,0,1,,
RV-VSMPE-1,2,10,0,1,1,0,0,2,,
RV-VSMPE-1,2,20,0,1,1,0,0,2,,
RV-VSMPE-1,2,30,0,1,0,0,0,1,,
RV-VSMPE-1,2,40,1,0,0,0,1,2,,
RV-VSMPE-1,2,50,0,0,0,0,1,1,,
RV-VSMPE-1,2,60,0,0,0,0,0,0,,
RV-VSMPE-1,2,70,0,0,0,0,0,0,,
RV-VSMPE-1,2,80,0,1,0,0,0,1,,
RV-VSMPE-1,2,90,0,1,0,0,0,1,,
RV-VSMPE-1,2,100,0,1,1,0,0,2,,
RV-VSMPE-1,2,110,0,1,0,0,0,1,,
RV-VSMPE-1,2,120,0,0,0,0,0,0,,
RV-VSMPE-1,2,130,0,1,0,0,0,1,,
RV-VSMPE-1,2,140,0,1,1,1,0,3,,
RV-VSMPE-1,2,150,0,1,0,1,1,3,,
RV-VSMPE-1,2,160,1,0,1,0,0,2,,
RV-VSMPE-1,2,170,0,1,1,0,0,2,,
RV-VSMPE-1,2,180,1,0,0,0,0,1,,
RV-VSMPE-1,2,184,0,0,0,0,0,0,,
RV-VSMPE-1,3,0,0,1,1,0,1,3,,
RV-VSMPE-1,3,10,0,1,1,0,0,2,,
RV-VSMPE-1,3,20,0,1,1,1,0,3,,
RV-VSMPE-1,3,30,0,1,0,1,0,2,,
RV-VSMPE-1,3,40,0,1,0,0,0,1,,
RV-VSMPE-1,3,50,1,0,0,0,1,2,,
RV-VSMPE-2,1,0,1,1,1,0,0,3,2.807692308,
RV-VSMPE-2,1,10,1,0,0,0,1,2,,
RV-VSMPE-2,1,20,0,1,1,1,1,4,,
RV-VSMPE-2,1,26.8,0,1,1,1,1,4,,
RV-VSMPE-2,2,0,0,1,1,1,1,4,,
RV-VSMPE-2,2,10,0,1,1,1,1,4,,
RV-VSMPE-2,2,20,0,1,0,1,1,3,,
RV-VSMPE-2,2,30,0,1,1,1,1,4,,
RV-VSMPE-2,2,40,0,1,1,1,1,4,,
RV-VSMPE-2,2,50,0,1,1,1,1,4,,
RV-VSMPE-2,2,60,1,1,1,1,0,4,,
RV-VSMPE-2,2,70,1,1,1,0,0,3,,
RV-VSMPE-2,2,80,1,1,0,0,0,2,,
RV-VSMPE-2,2,90,1,1,1,0,0,3,,
RV-VSMPE-2,2,100,1,1,0,0,0,2,,
RV-VSMPE-2,2,110,1,1,0,0,0,2,,
RV-VSMPE-2,2,120,1,1,1,0,0,3,,
RV-VSMPE-2,2,130,1,1,1,0,0,3,,
RV-VSMPE-2,2,140,1,1,0,0,0,2,,
RV-VSMPE-2,2,150,0,1,0,0,0,1,,
RV-VSMPE-2,2,160,0,1,0,0,1,2,,
RV-VSMPE-2,2,164.3,0,1,0,1,1,3,,
RV-VSMPE-2,3,0,0,1,0,1,1,3,,
RV-VSMPE-2,3,10,0,1,0,1,0,2,,
RV-VSMPE-2,3,20,0,1,0,0,0,1,,
RV-VSMPE-2,3,28,0,0,0,0,1,1,,
RV-VSMPE-10,1,0,1,1,0,0,0,2,2.071428571,
RV-VSMPE-10,1,10,0,1,1,0,0,2,,
RV-VSMPE-10,1,20,1,0,0,0,1,2,,
RV-VSMPE-10,1,28.3,1,0,0,0,0,1,,
RV-VSMPE-10,2,0,1,1,0,1,0,3,,
RV-VSMPE-10,2,10,1,0,0,1,0,2,,
RV-VSMPE-10,2,20,1,1,0,0,0,2,,
RV-VSMPE-10,2,30,0,1,0,1,1,3,,
RV-VSMPE-10,2,40,1,1,0,0,0,2,,
RV-VSMPE-10,2,50,1,1,1,0,0,3,,
RV-VSMPE-10,2,60,1,1,1,1,0,4,,
RV-VSMPE-10,2,70,1,1,0,0,0,2,,
RV-VSMPE-10,2,80,1,0,1,0,0,2,,
RV-VSMPE-10,2,90,1,1,0,0,0,2,,
RV-VSMPE-10,2,100,1,1,1,1,0,4,,
RV-VSMPE-10,2,110,1,1,0,0,0,2,,
RV-VSMPE-10,2,120,1,1,0,1,0,3,,
RV-VSMPE-10,2,130,1,0,0,1,0,2,,
RV-VSMPE-10,2,140,1,1,0,0,0,2,,
RV-VSMPE-10,2,150,1,1,0,0,0,2,,
RV-VSMPE-10,2,160,1,0,0,0,0,1,,
RV-VSMPE-10,2,170,0,1,0,0,0,1,,
RV-VSMPE-10,2,180,1,1,0,0,0,2,,
RV-VSMPE-10,2,182,1,1,0,0,0,2,,
RV-VSMPE-10,3,0,0,1,0,0,0,1,,
RV-VSMPE-10,3,10,1,0,0,1,0,2,,
RV-VSMPE-10,3,20,0,0,1,1,0,2,,
RV-VSMPE-10,3,28.5,0,0,0,0,0,0,,
RV-VSMPE-6,1,0,0,1,0,0,0,1,1.909090909,
RV-VSMPE-6,1,10,0,0,0,0,0,0,,
RV-VSMPE-6,1,20,0,0,0,0,1,1,,
RV-VSMPE-6,1,23.4,0,1,0,0,1,2,,
RV-VSMPE-6,2,0,0,0,0,0,1,1,,
RV-VSMPE-6,2,10,0,1,1,0,1,3,,
RV-VSMPE-6,2,20,0,1,0,1,1,3,,
RV-VSMPE-6,2,30,0,1,1,1,0,3,,
RV-VSMPE-6,2,40,0,1,1,0,1,3,,
RV-VSMPE-6,2,50,0,1,1,0,0,2,,
RV-VSMPE-6,2,60,0,0,0,1,0,1,,
RV-VSMPE-6,2,70,0,1,0,1,0,2,,
RV-VSMPE-6,2,80,0,1,1,0,1,3,,
RV-VSMPE-6,2,90,0,1,1,0,1,3,,
RV-VSMPE-6,2,100,0,1,1,1,1,4,,
RV-VSMPE-6,2,110,0,1,1,0,1,3,,
RV-VSMPE-6,2,120,0,1,1,1,1,4,,
RV-VSMPE-6,2,130,0,1,1,1,0,3,,
RV-VSMPE-6,2,140,0,1,0,0,0,1,,
RV-VSMPE-6,2,150,0,1,1,0,0,2,,
RV-VSMPE-6,2,160,0,0,0,1,1,2,,
RV-VSMPE-6,2,170,0,1,0,1,1,3,,
RV-VSMPE-6,2,180,0,1,0,1,0,2,,
RV-VSMPE-6,2,190,1,0,0,0,0,1,,
RV-VSMPE-6,2,200,0,1,0,0,0,1,,
RV-VSMPE-6,2,210,0,1,0,0,0,1,,
RV-VSMPE-6,2,220,0,0,0,1,0,1,,
RV-VSMPE-6,2,230,0,1,1,0,0,2,,
RV-VSMPE-6,2,239.2,0,1,1,0,0,2,,
RV-VSMPE-6,3,0,0,1,0,0,0,1,,
RV-VSMPE-6,3,10,0,0,1,0,0,1,,
RV-VSMPE-6,3,20,0,0,0,0,0,0,,
RV-VSMPE-6,3,27,0,1,0,0,0,1,,
RV-VSMPE-8,1,0,0,0,0,0,0,0,2.28125,
RV-VSMPE-8,1,10,0,1,0,0,0,1,,
RV-VSMPE-8,1,20,0,0,0,0,0,0,,
RV-VSMPE-8,1,26.5,0,1,1,1,0,3,,
RV-VSMPE-8,2,0,0,1,0,0,0,1,,
RV-VSMPE-8,2,10,1,1,0,1,0,3,,
RV-VSMPE-8,2,20,0,1,0,0,0,1,,
RV-VSMPE-8,2,30,0,1,1,0,1,3,,
RV-VSMPE-8,2,40,0,1,1,1,1,4,,
RV-VSMPE-8,2,50,0,1,0,0,0,1,,
RV-VSMPE-8,2,60,0,1,1,0,0,2,,
RV-VSMPE-8,2,70,0,1,1,1,0,3,,
RV-VSMPE-8,2,80,0,1,0,0,1,2,,
RV-VSMPE-8,2,90,0,1,1,1,1,4,,
RV-VSMPE-8,2,100,0,1,1,1,0,3,,
RV-VSMPE-8,2,110,1,1,0,0,1,3,,
RV-VSMPE-8,2,120,1,1,1,0,0,3,,
RV-VSMPE-8,2,130,1,1,1,0,1,4,,
RV-VSMPE-8,2,140,1,1,1,1,0,4,,
RV-VSMPE-8,2,150,1,1,1,0,0,3,,
RV-VSMPE-8,2,160,1,1,1,1,1,5,,
RV-VSMPE-8,2,170,0,1,0,0,1,2,,
RV-VSMPE-8,2,180,1,1,1,0,1,4,,
RV-VSMPE-8,2,190,0,1,0,0,1,2,,
RV-VSMPE-8,2,200,1,1,0,0,0,2,,
RV-VSMPE-8,2,210,0,1,1,1,0,3,,
RV-VSMPE-8,2,220,0,1,0,0,1,2,,
RV-VSMPE-8,2,230,0,1,0,1,0,2,,
RV-VSMPE-8,3,0,0,1,0,0,0,1,,
