InfrastructureID,Distance,Grass,Herbaceous,Wall,Shrub,Canapy,Layers,Comments,
SS-VSMPE-1,0,0,1,0,0,1,2,D'Anvers corner,
SS-VSMPE-1,10,0,1,1,0,1,3,,
SS-VSMPE-1,20,0,0,0,0,1,1,,
SS-VSMPE-1,30,0,1,0,0,1,2,,
SS-VSMPE-1,40,0,1,0,0,0,1,,
SS-VSMPE-1,50,0,1,0,0,1,2,,
SS-VSMPE-1,60,0,0,0,0,0,0,,
SS-VSMPE-1,70,0,0,0,0,0,0,,
SS-VSMPE-1,80,1,0,0,0,1,2,,
SS-VSMPE-1,90,0,1,0,0,1,2,,
SS-VSMPE-1,100,0,0,0,0,1,1,,
SS-VSMPE-1,110,0,0,0,0,1,1,,
SS-VSMPE-1,120,0,0,0,0,1,1,,
SS-VSMPE-1,130,0,0,0,0,1,1,,
SS-VSMPE-1,140,0,0,0,0,1,1,,
SS-VSMPE-1,150,0,1,0,0,1,2,,
SS-VSMPE-1,160,1,0,0,0,1,2,,
SS-VSMPE-1,170,0,1,0,0,1,2,,
SS-VSMPE-1,180,1,0,0,1,1,3,,
SS-VSMPE-1,190,0,1,0,1,1,3,,
SS-VSMPE-1,200,0,1,0,1,0,2,,
SS-VSMPE-1,210,0,0,0,0,0,0,,
SS-VSMPE-1,220,0,0,0,0,0,0,,
SS-VSMPE-1,229,0,0,0,0,1,1,,
SS-VSMPE-2,0,1,0,0,0,0,1,Ball corner,
SS-VSMPE-2,10,1,0,0,0,0,1,,
SS-VSMPE-2,20,1,1,1,0,1,4,,
SS-VSMPE-2,30,1,0,0,0,0,1,,
SS-VSMPE-2,40,0,0,0,0,0,0,,
SS-VSMPE-2,50,1,0,0,0,1,2,,
SS-VSMPE-2,60,1,0,0,0,1,2,,
SS-VSMPE-2,70,1,0,0,0,0,1,,
SS-VSMPE-2,80,1,1,0,0,1,3,,
SS-VSMPE-2,90,1,0,0,0,0,1,,
SS-VSMPE-2,100,1,1,0,0,1,3,,
SS-VSMPE-2,110,1,1,0,0,1,3,,
SS-VSMPE-2,120,1,0,0,0,1,2,,
SS-VSMPE-2,130,1,0,0,0,0,1,,
SS-VSMPE-2,140,1,0,0,0,0,1,,
SS-VSMPE-2,150,1,1,0,0,0,2,,
SS-VSMPE-2,160,1,0,0,0,1,2,,
SS-VSMPE-2,170,1,0,0,0,1,2,,
SS-VSMPE-2,180,1,0,0,1,0,2,,
SS-VSMPE-2,190,0,0,0,0,0,0,,
SS-VSMPE-2,200,0,0,0,0,0,0,,
SS-VSMPE-2,210,0,0,0,0,0,0,,
SS-VSMPE-2,220,1,0,0,0,0,1,,
SS-VSMPE-2,230,1,0,0,0,0,1,,
SS-VSMPE-2,240,0,1,0,0,0,1,,
SS-VSMPE-2,241,0,1,0,0,0,1,,
SS-VSMPE-10,0,1,1,0,0,1,3,Saint-Roch corner,
SS-VSMPE-10,10,0,0,0,0,0,0,,
SS-VSMPE-10,20,1,0,0,0,1,2,,
SS-VSMPE-10,30,1,0,0,0,0,1,,
SS-VSMPE-10,40,1,0,0,0,0,1,,
SS-VSMPE-10,50,0,0,0,0,1,1,,
SS-VSMPE-10,60,0,0,0,0,0,0,,
SS-VSMPE-10,70,1,1,0,0,1,3,,
SS-VSMPE-10,80,0,0,0,0,0,0,,
SS-VSMPE-10,90,1,1,0,0,0,2,,
SS-VSMPE-10,100,1,0,0,0,0,1,,
SS-VSMPE-10,110,1,1,0,0,0,2,,
SS-VSMPE-10,120,0,1,0,0,0,1,,
SS-VSMPE-10,130,1,0,0,1,0,2,,
SS-VSMPE-10,140,0,0,0,0,1,1,,
SS-VSMPE-10,150,0,0,0,0,0,0,,
SS-VSMPE-10,160,0,0,0,0,1,1,,
SS-VSMPE-10,170,0,0,0,0,1,1,,
SS-VSMPE-10,180,0,1,0,0,1,2,,
SS-VSMPE-10,190,0,1,0,0,1,2,,
SS-VSMPE-10,200,1,0,0,1,0,2,,
SS-VSMPE-10,210,1,0,0,0,1,2,,
SS-VSMPE-10,220,1,1,0,0,0,2,,
SS-VSMPE-6,0,0,0,0,0,0,0,Saint-Roch corner,
SS-VSMPE-6,10,0,1,0,0,0,1,,
SS-VSMPE-6,20,0,1,0,0,0,1,,
SS-VSMPE-6,30,0,0,0,0,1,1,,
SS-VSMPE-6,40,1,1,0,0,0,2,,
SS-VSMPE-6,50,0,0,0,0,0,0,,
SS-VSMPE-6,60,0,0,0,0,1,1,,
SS-VSMPE-6,70,0,0,0,0,1,1,,
SS-VSMPE-6,80,0,0,0,0,1,1,,
SS-VSMPE-6,90,0,1,0,1,1,3,,
SS-VSMPE-6,100,1,1,1,0,0,3,,
SS-VSMPE-6,110,1,1,0,0,1,3,,
SS-VSMPE-6,120,1,1,0,0,0,2,,
SS-VSMPE-6,130,1,1,0,0,1,3,,
SS-VSMPE-6,140,1,0,0,0,0,1,,
SS-VSMPE-6,150,0,0,0,0,0,0,,
SS-VSMPE-6,160,1,0,0,0,0,1,,
SS-VSMPE-6,170,0,0,0,0,1,1,,
SS-VSMPE-6,180,1,1,0,0,0,2,,
SS-VSMPE-6,190,0,0,0,0,1,1,,
SS-VSMPE-6,200,0,0,0,0,1,1,,
SS-VSMPE-6,210,0,1,0,0,1,2,,
SS-VSMPE-6,220,0,1,0,0,1,2,,
SS-VSMPE-6,230,1,0,0,0,1,2,,
SS-VSMPE-6,240,0,1,0,0,1,2,,
SS-VSMPE-6,250,0,1,0,0,1,2,,
SS-VSMPE-6,260,0,0,0,0,1,1,,
SS-VSMPE-6,270,0,0,0,0,0,0,,
SS-VSMPE-6,280,0,0,0,0,0,0,,
SS-VSMPE-6,288,0,0,0,0,0,0,,
SS-VSMPE-8,0,1,0,0,0,0,1,Ogilvy corner,
SS-VSMPE-8,10,0,0,0,0,0,0,,
SS-VSMPE-8,20,0,1,0,0,0,1,,
SS-VSMPE-8,30,0,0,0,0,0,0,,
SS-VSMPE-8,40,0,1,0,1,0,2,,
SS-VSMPE-8,50,0,0,0,0,0,0,,
SS-VSMPE-8,60,0,0,0,0,0,0,,
SS-VSMPE-8,70,1,0,0,0,0,1,,
SS-VSMPE-8,80,0,0,0,0,1,1,,
SS-VSMPE-8,90,0,0,0,0,1,1,,
SS-VSMPE-8,100,1,0,0,0,1,2,,
SS-VSMPE-8,110,0,0,0,0,1,1,,
SS-VSMPE-8,120,1,0,0,0,0,1,,
SS-VSMPE-8,130,1,0,0,0,0,1,,
SS-VSMPE-8,140,1,0,0,0,1,2,,
SS-VSMPE-8,150,1,0,0,0,1,2,,
SS-VSMPE-8,160,0,0,0,0,0,0,,
SS-VSMPE-8,170,0,0,0,0,1,1,,
SS-VSMPE-8,180,1,0,0,0,0,1,,
SS-VSMPE-8,190,1,1,0,0,0,2,,
SS-VSMPE-8,200,0,0,0,0,0,0,,
SS-VSMPE-8,210,1,0,0,0,0,1,,
SS-VSMPE-8,220,1,0,0,0,0,1,,
SS-VSMPE-8,230,1,0,0,0,0,1,,
SS-VSMPE-8,240,1,0,0,0,1,2,,
SS-VSMPE-8,250,1,1,0,0,0,2,,
SS-VSMPE-8,260,1,1,0,0,0,2,,
SS-VSMPE-8,270,1,0,0,0,0,1,,
SS-VSMPE-8,280,1,0,0,0,0,1,,
SS-VSMPE-8,290,1,0,0,0,0,1,,
SS-VSMPE-8,299.25,1,0,0,0,0,1,,
SS-VSMPE-4,0,0,1,0,0,0,1,Saint-Roch corner,
SS-VSMPE-4,10,1,0,0,0,1,2,,
SS-VSMPE-4,20,0,1,0,0,0,1,,
SS-VSMPE-4,30,1,0,0,0,0,1,,
SS-VSMPE-4,40,0,0,0,0,1,1,,
SS-VSMPE-4,50,0,0,0,0,1,1,,
SS-VSMPE-4,60,0,1,0,0,1,2,,
SS-VSMPE-4,70,0,0,0,0,0,0,,
SS-VSMPE-4,80,0,1,0,0,1,2,,
SS-VSMPE-4,90,1,0,0,0,1,2,,
SS-VSMPE-4,100,0,1,0,0,1,2,,
SS-VSMPE-4,110,0,0,0,0,0,0,,
SS-VSMPE-4,120,0,0,0,0,0,0,,
SS-VSMPE-4,130,1,0,0,0,0,1,,
SS-VSMPE-4,140,0,1,0,0,0,1,,
