"Device Name","T36"
"Device Model","Kestrel DROP 2"
"Serial Number","2756437"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2023-08-07 03:20:00 p.m.","73,3","77,1","74,7","65,7","point"
"2023-08-07 03:30:00 p.m.","73,6","75,1","75,0","65,2","point"
"2023-08-07 03:40:00 p.m.","73,6","74,9","74,8","65,1","point"
"2023-08-07 03:50:00 p.m.","73,4","74,8","74,5","64,9","point"
"2023-08-07 04:00:00 p.m.","73,4","75,4","74,7","65,2","point"
"2023-08-07 04:10:00 p.m.","73,4","75,8","74,7","65,3","point"
"2023-08-07 04:20:00 p.m.","73,3","75,6","74,5","65,2","point"
"2023-08-07 04:30:00 p.m.","73,3","75,8","74,5","65,2","point"
"2023-08-07 04:40:00 p.m.","73,3","75,8","74,5","65,2","point"
"2023-08-07 04:50:00 p.m.","73,3","75,8","74,5","65,2","point"
"2023-08-07 05:00:00 p.m.","73,2","75,9","74,5","65,2","point"
"2023-08-07 05:10:00 p.m.","73,3","75,9","74,5","65,2","point"
"2023-08-07 05:20:00 p.m.","73,2","76,0","74,5","65,2","point"
"2023-08-07 05:30:00 p.m.","73,2","76,1","74,5","65,2","point"
"2023-08-07 05:40:00 p.m.","73,3","76,7","74,7","65,6","point"
"2023-08-07 05:50:00 p.m.","73,4","76,6","74,8","65,6","point"
"2023-08-07 06:00:00 p.m.","73,5","76,5","74,8","65,7","point"
"2023-08-07 06:10:00 p.m.","73,5","76,4","74,8","65,7","point"
"2023-08-07 06:20:00 p.m.","73,5","76,1","74,7","65,5","point"
"2023-08-07 06:30:00 p.m.","73,5","75,3","74,7","65,2","point"
"2023-08-07 06:40:00 p.m.","73,4","74,7","74,5","64,9","point"
"2023-08-07 06:50:00 p.m.","73,3","74,6","74,3","64,8","point"
"2023-08-07 07:00:00 p.m.","73,2","75,1","74,3","64,8","point"
"2023-08-07 07:10:00 p.m.","73,1","75,2","74,3","64,7","point"
"2023-08-07 07:20:00 p.m.","73,1","75,3","74,3","64,8","point"
"2023-08-07 07:30:00 p.m.","73,0","75,0","74,1","64,6","point"
"2023-08-07 07:40:00 p.m.","73,0","75,4","74,1","64,7","point"
"2023-08-07 07:50:00 p.m.","72,9","75,3","74,1","64,6","point"
"2023-08-07 08:00:00 p.m.","72,9","75,6","74,1","64,8","point"
"2023-08-07 08:10:00 p.m.","72,9","75,6","74,1","64,7","point"
"2023-08-07 08:20:00 p.m.","72,9","--","--","--","point"
"2023-08-07 08:30:00 p.m.","72,9","76,5","74,1","65,1","point"
"2023-08-07 08:40:00 p.m.","72,9","76,4","74,1","65,0","point"
"2023-08-07 08:50:00 p.m.","72,8","75,8","73,9","64,7","point"
"2023-08-07 09:00:00 p.m.","72,6","74,9","73,6","64,2","point"
"2023-08-07 09:10:00 p.m.","72,5","74,8","73,6","64,1","point"
"2023-08-07 09:20:00 p.m.","72,5","74,7","73,6","64,0","point"
"2023-08-07 09:30:00 p.m.","72,4","74,2","73,4","63,7","point"
"2023-08-07 09:40:00 p.m.","72,3","73,9","73,4","63,6","point"
"2023-08-07 09:50:00 p.m.","72,4","73,9","73,4","63,6","point"
"2023-08-07 10:00:00 p.m.","72,5","73,8","73,6","63,7","point"
"2023-08-07 10:10:00 p.m.","72,6","73,9","73,6","63,8","point"
"2023-08-07 10:20:00 p.m.","72,6","73,9","73,6","63,8","point"
"2023-08-07 10:30:00 p.m.","72,6","74,1","73,6","63,9","point"
"2023-08-07 10:40:00 p.m.","72,5","74,1","73,6","63,8","point"
"2023-08-07 10:50:00 p.m.","72,5","73,9","73,4","63,7","point"
"2023-08-07 11:00:00 p.m.","72,4","73,9","73,4","63,6","point"
"2023-08-07 11:10:00 p.m.","72,4","73,8","73,4","63,6","point"
"2023-08-07 11:20:00 p.m.","72,3","73,5","73,2","63,4","point"
"2023-08-07 11:30:00 p.m.","72,3","73,3","73,0","63,2","point"
"2023-08-07 11:40:00 p.m.","72,2","73,4","73,0","63,2","point"
"2023-08-07 11:50:00 p.m.","72,1","73,6","72,9","63,2","point"
"2023-08-08 12:00:00 a.m.","72,1","73,8","72,9","63,3","point"
"2023-08-08 12:10:00 a.m.","72,0","73,9","72,9","63,2","point"
"2023-08-08 12:20:00 a.m.","71,9","74,1","72,7","63,2","point"
"2023-08-08 12:30:00 a.m.","72,0","74,4","72,9","63,4","point"
"2023-08-08 12:40:00 a.m.","71,9","74,6","72,7","63,3","point"
"2023-08-08 12:50:00 a.m.","71,9","74,6","72,7","63,4","point"
"2023-08-08 01:00:00 a.m.","71,9","74,8","72,7","63,4","point"
"2023-08-08 01:10:00 a.m.","71,9","74,9","72,7","63,5","point"
"2023-08-08 01:20:00 a.m.","71,7","74,9","72,5","63,3","point"
"2023-08-08 01:30:00 a.m.","71,7","74,8","72,5","63,3","point"
"2023-08-08 01:40:00 a.m.","71,6","74,8","72,5","63,2","point"
"2023-08-08 01:50:00 a.m.","71,7","74,8","72,5","63,2","point"
"2023-08-08 02:00:00 a.m.","71,6","74,8","72,3","63,2","point"
"2023-08-08 02:10:00 a.m.","71,5","74,5","72,3","63,0","point"
