InfrastructureID,Date,Time,Observers,Segment,TreeNumber,CommonName,Genus,Species,DBH,Comments
RV-VSMPE-1,06-02-2023,09:49,"AZ,IR",1,NA,NA,NA,NA,NA,No trees
RV-VSMPE-1,06-02-2023,09:49,"AZ,IR",2,NA,NA,NA,NA,NA,No trees
RV-VSMPE-1,06-02-2023,09:49,"AZ,IR",3,NA,NA,NA,NA,NA,No trees
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,1,Green Ash,Fraxinus,pennsylvanica,49,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,2,Pioneer Elm,Ulmus,hollandica,6.6,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,3,Green Ash,Fraxinus,pennsylvanica,68,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,4,Pioner Elm,Ulmus,hollandica,7.3,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,5,Green Ash,Fraxinus,pennsylvanica,64.9,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,6,Green Ash,Fraxinus,pennsylvanica,41.3,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,7,Kentucky Coffee Tree,Gymnocladus,dioicus,4.6,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,8,Green Ash,Fraxinus,pennsylvanica,63.6,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,9,Green Ash,Fraxinus,pennsylvanica,51.6,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,10,Green Ash,Fraxinus,pennsylvanica,47.8,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,11,Green Ash,Fraxinus,pennsylvanica,55.3,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,12,Honey Locust,Gleditsia,triacanthos,6.2,
SS-VSMPE-1,06-02-2023,10:23,"AZ,IR",NA,13,Green Ash,Fraxinus,pennsylvanica,45.6,
