Variable,Levels,Count,,,,,,,,
Age,20-29,7,,,,,,,,
Age,30-39,6,,,,,,,,
Age,40-49,3,,,,,,,,
Age,50-59,7,,,,,,,,
Age,60-69,5,,,,,,,,
Age,70-79,0,,,,,,,,
Age,80+,1,,,,,,,,
Gender,Man,10,,,,,,,,
Gender,Woman,19,,,,,,,,
Gender,Other,1,,,,,,,,
Country of Origin,Canada/QC,16,,,,,,,,
Country of Origin,France,4,,,,,,,,
Country of Origin,China,1,,,,,,,,
Country of Origin,Ukraine,1,,,,,,,,
Country of Origin,Ghana,1,,,,,,,,
Country of Origin,Morocco,1,,,,,,,,
Country of Origin,Switzerland,2,,,,,,,,
Country of Origin,Ireland,1,,,,,,,,
Country of Origin,Colombia,1,,,,,,,,
Country of Origin,Iran,1,,,,,,,,
Years in QC,Née au Québec,16,,,,,,,,
Years in QC,Immi 0-4 ans,4,,,,,,,,
Years in QC,Immi 5-9 ans,3,,,,,,,,
Years in QC,Immi 10-14 ans,1,,,,,,,,
Years in QC,Immi 15-19 ans,0,,,,,,,,
Years in QC,Immi 20 ans +,6,,,,,,,,
Household Size,1 person,14,,,,,,,,
Household Size,2 people,10,,,,,,,,
Household Size,3 people,5,,,,,,,,
Household Size,4 people,1,,,,,,,,
Number of Kids,0 kids,18,,,,,,,,
Number of Kids,1 kid,9,,,,,,,,
Number of Kids,2 kids,2,,,,,,,,
Number of Kids,3 kids,1,,,,,,,,
Education Level,Universitaire,23,,,,,,,,
Education Level,Collégial,5,,,,,,,,
Education Level,Secondaire,2,,,,,,,,
Employment Status,Student,7,,,,,,,,
Employment Status,Retired,4,,,,,,,,
Employment Status,Full-time ,16,,,,,,,,
Employment Status,Unemployed,1,,,,,,,,
Employment Status,Self-employed,2,,,,,,,,
Annual Salary,-19 999$,4,,,,,,,,
Annual Salary,20 000$-29 999$,4,,,,,,,,
Annual Salary,30 000$-39 999$,2,,,,,,,,
Annual Salary,40 000$-49 999$,0,,,,,,,,
Annual Salary,50 000$-59 999$,5,,,,,,,,
Annual Salary,60 000$-69 999$,1,,,,,,,,
Annual Salary,70 000$-79 999$,2,,,,,,,,
Annual Salary,80 000$-89 999$,0,,,,,,,,
Annual Salary,90 000$-99 999$,0,,,,,,,,
Annual Salary,100 000$ +,9,,,,,,,,
Car,Yes,14,,,,,,,,
Car,No,16,,,,,,,,
Housing Type,Apartment,18,,,,,,,,
Housing Type,Single family home,8,,,,,,,,
Housing Type,Condo,3,,,,,,,,
Housing Type,Coop,1,,,,,,,,
Alley Knowledge,Know the alleys,9,,,,,,,,
Alley Knowledge,Don't know the alleys,20,,,,,,,,
Alley Knowledge,Know one alley,1,,,,,,,,
City,Montréal,16,,,,,,,,
City,Trois-Rivières,14,,,,,,,,
Montreal Neighbourhood,Villeray,12,,,,,,,,
Montreal Neighbourhood,Parc-Extension,3,,,,,,,,
Montreal Neighbourhood,Saint-Michel,1,,,,,,,,
