"","RUELLE_ID","CODE_ARR","ruelle_area","canopy","per_can","Q_socio","RUELLE_CODE"
"1","104006131","VSMPE",296.297706702258,30,0.101249518040132,"Parc-Extension","CON-VSMPE-1"
"2","104006376","VSMPE",958.071666403324,371,0.387236167199019,"Parc-Extension","CON-VSMPE-2"
"3","200438765","VSMPE",958.694956350606,366,0.38176898457172,"Parc-Extension","CON-VSMPE-3"
"4","104006133","VSMPE",298.593157283962,67,0.224385584081832,"Saint-Michel","CON-VSMPE-4"
"5","104006226","VSMPE",561.000024520792,45,0.08021390023724,"Saint-Michel","CON-VSMPE-5"
"6","104006290","VSMPE",762.033471653733,456,0.598398911547032,"Saint-Michel","CON-VSMPE-6"
"7","104006166","VSMPE",403.661549204087,362,0.896790890075528,"Villeray","CON-VSMPE-7"
"8","104006182","VSMPE",465.377644636668,32,0.0687613605182586,"Villeray","CON-VSMPE-8"
"9","104006389","VSMPE",970.140647916123,525,0.541158646560896,"Villeray","CON-VSMPE-9"
"10","104006429","VSMPE",1125.29359138571,291,0.258599180007466,"Villeray","CON-VSMPE-10"
"11","2eAv-3eAv","TR",405.995709905401,24,0.0591139251338201,"Trois-Rivieres","CON-TR-1"
"12","5eAv-6eAv","TR",387.623874479905,116,0.299259172711287,"Trois-Rivieres","CON-TR-2"
"13","Brebeuf-Dumoulin","TR",1568.44219782187,230,0.146642318294807,"Trois-Rivieres","CON-TR-3"
"14","Caron-St.Paul","TR",625.768689921126,535,0.854948495533443,"Trois-Rivieres","CON-TR-4"
"15","Cloutier-Richard","TR",942.43770971708,107,0.113535355065664,"Trois-Rivieres","CON-TR-5"
"16","Godbout-Jutras-1","TR",817.683997740969,65,0.0794928116235327,"Trois-Rivieres","CON-TR-6"
"17","Godbout-Jutras-2","TR",860.151463285089,148,0.172062719552622,"Trois-Rivieres","CON-TR-7"
"18","Hon.Mercier-Chapleau","TR",834.351730842143,134,0.160603729873909,"Trois-Rivieres","CON-TR-8"
"19","Montacalm-Wolfe","TR",1084.6771005746,140,0.129070669903362,"Trois-Rivieres","CON-TR-9"
"20","Ste.Angele-Ste.Cecile-1","TR",1133.05528367497,140,0.123559725652505,"Trois-Rivieres","CON-TR-10"
"21","Ste.Angele-Ste.Cecile-4","TR",522.798189053312,54,0.103290334837968,"Trois-Rivieres","CON-TR-11"
"22","Wiliams-Gingras-2","TR",516.992588113062,85,0.164412415099095,"Trois-Rivieres","CON-TR-12"
"23","Wolfe-Amherst-2","TR",338.998157243244,61,0.179941981089384,"Trois-Rivieres","CON-TR-13"
